Name,Subtitle,Acceleration (sec),TopSpeed (km/h),Range (km),Efficiency (Wh/km),FastChargeSpeed (km/h),Drive,NumberofSeats,PriceinGermany (Euro),PriceinUK (Pounds)
Opel Ampera-e ,Battery Electric Vehicle |       58 kWh ,7.3,150,335,173,210,Front Wheel Drive,5,"42,990",N/A
Renault Kangoo Maxi ZE 33,Battery Electric Vehicle |       31 kWh ,22.4,130,160,194,-,Front Wheel Drive,5,N/A,"31,680"
Nissan Leaf ,Battery Electric Vehicle |       36 kWh ,7.9,144,220,164,230,Front Wheel Drive,5,"29,990","25,995"
Audi e-tron Sportback 55 quattro,Battery Electric Vehicle |       86.5 kWh,5.7,200,375,231,600,All Wheel Drive,5,N/A,"79,900"
Porsche Taycan Turbo S,Battery Electric Vehicle |       83.7 kWh,2.8,260,390,215,860,All Wheel Drive,4,"186,336","138,830"
Nissan e-NV200 Evalia ,Battery Electric Vehicle |       36 kWh ,14,123,165,218,170,Front Wheel Drive,7,"43,433","30,255"
Volkswagen ID.3 Pure Performance,Battery Electric Vehicle |       45 kWh,8.9,160,275,164,260,Rear Wheel Drive,5,"31,960","27,120"
BMW iX3 ,Battery Electric Vehicle |       74 kWh,6.8,180,385,192,520,Rear Wheel Drive,5,"66,300","58,850"
Nissan Leaf e+,Battery Electric Vehicle |       56 kWh ,7.3,157,325,172,390,Front Wheel Drive,5,"38,350","30,445"
BMW i3 120 Ah,Battery Electric Vehicle |       37.9 kWh,7.3,150,235,161,270,Rear Wheel Drive,4,"39,000","31,305"
Mercedes EQA 250,Battery Electric Vehicle |       66.5 kWh,8.9,160,355,187,420,Front Wheel Drive,5,"47,541","43,495"
DS 3 Crossback E-Tense,Battery Electric Vehicle |       45 kWh ,8.7,150,250,180,330,Front Wheel Drive,5,"30,040","31,500"
BMW i3s 120 Ah,Battery Electric Vehicle |       37.9 kWh,6.9,160,230,165,260,Rear Wheel Drive,4,"42,600","32,305"
Sono Sion ,Battery Electric Vehicle |       47 kWh ,9,140,260,181,310,Front Wheel Drive,5,"25,500",N/A
Audi e-tron GT RS,Battery Electric Vehicle |       85 kWh,3.3,250,405,210,810,All Wheel Drive,4,"138,200","110,950"
Kia e-Soul 64 kWh,Battery Electric Vehicle |       64 kWh,7.9,167,370,173,350,Front Wheel Drive,5,N/A,"37,545"
Renault Zoe ZE50 R110,Battery Electric Vehicle |       52 kWh,11.4,135,315,165,230,Front Wheel Drive,5,"31,990","26,795"
Hyundai IONIQ Electric,Battery Electric Vehicle |       38.3 kWh,9.7,165,250,153,220,Front Wheel Drive,5,"35,350","30,550"
Lightyear One ,Battery Electric Vehicle |       60 kWh ,10,150,575,104,540,All Wheel Drive,5,"149,000",N/A
Tesla Roadster ,Battery Electric Vehicle |       200 kWh ,2.1,410,970,206,920,All Wheel Drive,4,"215,000","189,000"
Peugeot e-208 ,Battery Electric Vehicle |       45 kWh ,8.1,150,275,164,370,Front Wheel Drive,5,"30,450","27,225"
Honda e ,Battery Electric Vehicle |       28.5 kWh ,9,145,170,168,190,Rear Wheel Drive,4,"33,850","27,660"
CUPRA Born 110 kW - 55 kWh,Battery Electric Vehicle |       45 kWh,8.9,160,275,164,440,Rear Wheel Drive,5,"32,700","28,500"
